Cohort;Duisburg;ELFE;FLEHSl;GRD;HUMIS;Mihcalovce;PELAGIE
Weight 24m (kg);13.56;12;12.53;13.21;12.19;13.66;12.39
Height 24m (cm);87.4;87.6;88;88.6;86.3;86.2;87.5
birth weight (g);3.46;3.34;3.383;3.5;3.68;3.37;3.37
Birth length (cm);52;49;50.7;52.5;51;50;50
Gestational age (weeks);40;40;40;40;40;40;40
Male;108;18;72;322;203;477;92
Female;114;17;62;266;195;459;79
Maternal pre-pregnancy BMI;23;21.5;22.4;22.1;23.3;21.2;21.9
Prenatal PCB-153;63.6;92.6;54;184.7;36.4;164.4;43
sd;45.9;41.9;38.4;72.9;17.1;219.2;31.5
Postnatal PCB-153;126.1;301.1;66.5;280.4;104.7;292.4;48.3
sd;98.8;133;69.6;152;52.2;425.4;55.9
Prenatal p,p’-DDE;141.4;NA;214.7;NA;63.4;540.5;73.5
sd;205.1;;244.5;;94.8;459;74.4
Postnatal p,p’-DDE;255.3;NA;272.6;NA;177.3;954.3;75.7
sd;287.6;;412.9;;236.9;1032.8;99.8
change in weight (g);1352.54;1196.66;1249.617;1317.5;1215.32;1362.63;1235.63
change in length (cm);35.4;38.6;37.3;36.1;35.3;36.2;37.5
change in PCB-153;62.5;208.5;12.5;95.7;68.3;128;5.3
change in p,p'DDE;113.9;NA;57.9;NA;113.9;413.8;2.2
weight/length 24m g/cm;155.1487414;136.9863014;142.3863636;149.0970655;141.2514484;158.4686775;141.6
birth weight/length g/cm;0.066538462;0.068163265;0.066725838;0.066666667;0.072156863;0.0674;0.0674
